Table;Code;Libellé;Type;Contraintes
Contrainte_2 ;;;Une;
Contrainte_4 ;;;Une;
_user_ ;id;;SERIAL;
_user_ ;last_name;;VARCHAR(50);
_user_ ;first_name;;VARCHAR(50);
_user_ ;email;;VARCHAR(50);
_user_ ;number;;VARCHAR(50);
_user_ ;activated_account;;BOOLEAN;
_user_ ;photo;;BOOLEAN;
_user_ ;message;;BOOLEAN;
_user_ ;email_1;;BOOLEAN;
_user_ ;sms;;BOOLEAN;
staff ;id;;SERIAL;
staff ;_function_;;role;
staff ;is_admin;;BOOLEAN;
staff ;contract_type;;type;
staff ;start_date_contract;;DATE;
staff ;end_date_contract;;VARCHAR(50);
formation ;id;;SERIAL;
formation ;formation_name;;VARCHAR(50);
formation ;infos_formation;;VARCHAR(50);
formation ;is_cdi;;BOOLEAN;
instructor ;id;;SERIAL;
path ;id;;SERIAL;
path ;departure_date;;TIMESTAMPZ;
path ;start_adresse;;VARCHAR(50);
path ;end_adress;;VARCHAR(50);
path ;price;;MONEY;
path ;path_frequency;;frequency;
path ;description;;VARCHAR(50);
car ;id;;SERIAL;
car ;matricul_id;;VARCHAR(50);
car ;car_category;;category;
car ;seat_quantity;;INTEGER;
car ;brand_car;;VARCHAR(50);
car ;fuel_type;;enum;
car ;fuel_consumption;;INTEGER;
session ;id;;SERIAL;
session ;start_date;;DATE;
session ;end_date;;DATE;
comment ;id;;SERIAL;
comment ;comments;;VARCHAR(250);
notification_model ;id;;SERIAL;
notification_model ;message;;VARCHAR(50);
fuel_price ;id;;SERIAL;
fuel_price ;essence__price;;MONEY;
fuel_price ;gazole_price;;MONEY;
fuel_price ;GPL_price;;MONEY;
fuel_price ;electric_price;;VARCHAR(50);
stagiaire ;id;;SERIAL;
notification ;;;Id_notification;
instructor_session ;is_referent;;boolean;
